stop_nr;hum;temp;time;time_start;time_end;sensor_ID;round_nr
101;62.0;25.0;2021-08-05 19:02:16.845575;2021-08-05 19:02:07.437120;2021-08-05 19:02:17.446516;5;6
102;62.1;25.0;2021-08-05 19:02:34.886132;2021-08-05 19:02:26.495786;2021-08-05 19:02:36.502458;6;6
103;62.1;25.0;2021-08-05 19:02:52.930167;2021-08-05 19:02:44.419859;2021-08-05 19:02:54.430404;7;6
104;62.0;25.0;2021-08-05 19:03:10.969855;2021-08-05 19:03:01.615519;2021-08-05 19:03:11.626173;8;6
105;62.0;25.0;2021-08-05 19:03:27.006519;2021-08-05 19:03:18.685237;2021-08-05 19:03:28.694427;9;6
106;61.9;25.0;2021-08-05 19:03:43.043174;2021-08-05 19:03:34.739601;2021-08-05 19:03:44.750206;10;6
107;61.9;25.0;2021-08-05 19:03:59.079861;2021-08-05 19:03:50.660566;2021-08-05 19:04:00.670397;11;6
108;61.9;25.0;2021-08-05 19:04:17.122699;2021-08-05 19:04:08.744320;2021-08-05 19:04:18.754380;12;6
109;61.9;25.0;2021-08-05 19:04:33.159019;2021-08-05 19:04:25.143592;2021-08-05 19:04:35.154332;13;6
110;61.9;25.0;2021-08-05 19:04:53.204486;2021-08-05 19:04:43.762085;2021-08-05 19:04:53.770334;14;6
111;61.9;25.0;2021-08-05 19:05:11.247287;2021-08-05 19:05:01.437826;2021-08-05 19:05:11.446462;15;6
112;62.1;25.0;2021-08-05 19:05:29.286006;2021-08-05 19:05:20.798308;2021-08-05 19:05:30.806378;0;7
113;62.3;25.0;2021-08-05 19:05:53.350915;2021-08-05 19:05:44.083525;2021-08-05 19:05:54.090450;1;7
114;62.2;24.9;2021-08-05 19:06:11.410560;2021-08-05 19:06:01.871103;2021-08-05 19:06:11.878391;2;7
115;62.2;24.9;2021-08-05 19:06:27.458747;2021-08-05 19:06:18.891825;2021-08-05 19:06:28.902559;3;7
116;62.3;25.0;2021-08-05 19:06:47.515996;2021-08-05 19:06:37.547997;2021-08-05 19:06:47.558576;4;7
117;62.2;25.0;2021-08-05 19:07:05.567251;2021-08-05 19:06:56.308374;2021-08-05 19:07:06.318408;5;7
118;62.2;25.0;2021-08-05 19:07:23.616973;2021-08-05 19:07:15.295894;2021-08-05 19:07:25.306354;6;7
119;62.1;25.0;2021-08-05 19:07:43.668687;2021-08-05 19:07:33.727346;2021-08-05 19:07:43.734444;7;7
120;62.1;25.0;2021-08-05 19:07:59.709219;2021-08-05 19:07:50.825388;2021-08-05 19:08:00.834387;8;7
121;62.0;25.0;2021-08-05 19:08:17.752248;2021-08-05 19:08:07.959980;2021-08-05 19:08:17.970382;9;7
122;62.0;25.0;2021-08-05 19:08:33.792087;2021-08-05 19:08:24.039563;2021-08-05 19:08:34.046395;10;7
123;61.9;25.0;2021-08-05 19:08:49.831130;2021-08-05 19:08:39.967096;2021-08-05 19:08:49.974380;11;7
124;61.9;25.0;2021-08-05 19:09:05.870333;2021-08-05 19:08:57.781759;2021-08-05 19:09:07.790419;12;7
125;62.0;25.0;2021-08-05 19:09:23.915997;2021-08-05 19:09:15.270972;2021-08-05 19:09:25.278388;13;7
126;62.1;25.0;2021-08-05 19:09:43.964368;2021-08-05 19:09:33.983842;2021-08-05 19:09:43.994386;14;7
127;62.1;25.0;2021-08-05 19:10:00.002906;2021-08-05 19:09:51.905542;2021-08-05 19:10:01.914380;15;7
128;62.2;25.0;2021-08-05 19:10:16.041662;2021-08-05 19:10:07.864936;2021-08-05 19:10:17.874427;0;8
129;62.6;25.0;2021-08-05 19:10:42.106251;2021-08-05 19:10:34.058570;2021-08-05 19:10:44.066437;1;8
130;62.5;25.0;2021-08-05 19:11:02.154349;2021-08-05 19:10:52.238233;2021-08-05 19:11:02.246410;2;8
131;62.4;25.0;2021-08-05 19:11:20.195866;2021-08-05 19:11:10.238600;2021-08-05 19:11:20.246377;3;8
132;62.3;25.0;2021-08-05 19:11:38.241045;2021-08-05 19:11:28.735006;2021-08-05 19:11:38.745562;4;8
133;62.3;25.0;2021-08-05 19:11:56.286315;2021-08-05 19:11:47.243022;2021-08-05 19:11:57.250449;5;8
134;62.5;25.0;2021-08-05 19:12:16.334347;2021-08-05 19:12:06.575395;2021-08-05 19:12:16.582364;6;8
135;62.4;25.0;2021-08-05 19:12:32.372763;2021-08-05 19:12:24.160033;2021-08-05 19:12:34.170600;7;8
136;62.2;25.0;2021-08-05 19:12:50.413962;2021-08-05 19:12:41.437290;2021-08-05 19:12:51.446437;8;8
137;62.6;25.0;2021-08-05 19:13:10.461868;2021-08-05 19:13:00.718744;2021-08-05 19:13:10.726381;9;8
138;62.2;25.1;2021-08-05 19:13:30.509888;2021-08-05 19:13:20.694020;2021-08-05 19:13:30.705300;10;8
139;62.2;25.1;2021-08-05 19:13:48.555347;2021-08-05 19:13:39.020774;2021-08-05 19:13:49.030522;11;8
140;62.2;25.1;2021-08-05 19:14:04.597360;2021-08-05 19:13:55.739877;2021-08-05 19:14:05.750460;12;8
141;62.5;25.0;2021-08-05 19:15:14.767122;2021-08-05 19:15:06.454345;2021-08-05 19:15:16.462402;13;8
142;62.4;25.1;2021-08-05 19:15:34.815013;2021-08-05 19:15:25.230256;2021-08-05 19:15:35.238412;14;8
143;62.3;25.0;2021-08-05 19:15:52.856226;2021-08-05 19:15:43.171637;2021-08-05 19:15:53.178400;15;8
144;62.4;25.1;2021-08-05 19:16:12.904081;2021-08-05 19:16:02.950602;2021-08-05 19:16:12.958408;0;9
145;62.5;25.0;2021-08-05 19:16:34.958761;2021-08-05 19:16:25.271373;2021-08-05 19:16:35.278375;1;9
146;62.6;25.0;2021-08-05 19:16:50.997053;2021-08-05 19:16:42.777538;2021-08-05 19:16:52.788082;2;9
147;62.3;25.0;2021-08-05 19:17:09.042294;2021-08-05 19:17:00.643354;2021-08-05 19:17:10.650521;3;9
148;62.1;25.0;2021-08-05 19:17:27.083293;2021-08-05 19:17:18.090960;2021-08-05 19:17:28.098373;4;9
149;62.1;25.0;2021-08-05 19:17:47.131328;2021-08-05 19:17:37.752898;2021-08-05 19:17:47.762385;5;9
150;62.3;25.0;2021-08-05 19:18:07.182975;2021-08-05 19:17:58.323701;2021-08-05 19:18:08.334300;6;9
151;62.3;25.1;2021-08-05 19:18:25.224134;2021-08-05 19:18:16.868318;2021-08-05 19:18:26.878388;7;9
152;62.3;25.1;2021-08-05 19:18:43.264256;2021-08-05 19:18:34.025958;2021-08-05 19:18:44.034375;8;9
153;62.4;25.1;2021-08-05 19:18:59.295627;2021-08-05 19:18:50.457771;2021-08-05 19:19:00.466369;9;9
154;62.3;25.1;2021-08-05 19:19:15.331541;2021-08-05 19:19:06.720972;2021-08-05 19:19:16.730402;10;9
155;62.3;25.1;2021-08-05 19:19:31.364177;2021-08-05 19:19:22.914602;2021-08-05 19:19:32.922334;11;9
156;62.2;25.1;2021-08-05 19:19:49.403610;2021-08-05 19:19:40.337499;2021-08-05 19:19:50.348089;12;9
157;62.3;25.1;2021-08-05 19:20:05.437381;2021-08-05 19:19:56.760958;2021-08-05 19:20:06.770309;13;9
158;62.4;25.1;2021-08-05 19:20:25.480205;2021-08-05 19:20:16.003072;2021-08-05 19:20:26.010378;14;9
159;62.4;25.0;2021-08-05 19:20:43.521148;2021-08-05 19:20:34.311652;2021-08-05 19:20:44.318314;15;9
160;62.5;25.0;2021-08-05 19:21:03.564990;2021-08-05 19:20:54.277010;2021-08-05 19:21:04.286377;0;10
161;62.7;25.0;2021-08-05 19:21:25.611746;2021-08-05 19:21:16.587264;2021-08-05 19:21:26.597842;1;10
162;62.8;25.0;2021-08-05 19:21:45.656467;2021-08-05 19:21:36.087882;2021-08-05 19:21:46.098375;2;10
163;62.6;25.0;2021-08-05 19:22:03.698769;2021-08-05 19:21:55.115790;2021-08-05 19:22:05.126377;3;10
164;62.5;25.0;2021-08-05 19:22:23.744098;2021-08-05 19:22:14.718183;2021-08-05 19:22:24.726401;4;10
165;62.5;25.0;2021-08-05 19:22:43.789408;2021-08-05 19:22:35.320814;2021-08-05 19:22:45.331402;5;10
166;62.7;25.0;2021-08-05 19:23:03.835220;2021-08-05 19:22:55.623103;2021-08-05 19:23:05.630346;6;10
167;62.8;25.0;2021-08-05 19:23:23.880830;2021-08-05 19:23:14.874999;2021-08-05 19:23:24.885563;7;10
168;62.7;25.0;2021-08-05 19:23:41.924109;2021-08-05 19:23:32.934980;2021-08-05 19:23:42.938376;8;10
169;62.6;25.0;2021-08-05 19:23:59.963553;2021-08-05 19:23:50.728669;2021-08-05 19:24:00.738460;9;10
170;62.5;25.0;2021-08-05 19:24:16.000635;2021-08-05 19:24:07.115406;2021-08-05 19:24:17.122414;10;10
171;62.6;25.0;2021-08-05 19:24:32.037502;2021-08-05 19:24:22.954428;2021-08-05 19:24:32.962499;11;10
172;62.5;25.0;2021-08-05 19:24:50.081083;2021-08-05 19:24:42.008989;2021-08-05 19:24:52.019546;12;10
173;62.6;25.0;2021-08-05 19:25:08.124724;2021-08-05 19:24:58.867505;2021-08-05 19:25:08.878390;13;10
174;62.6;25.0;2021-08-05 19:25:26.164546;2021-08-05 19:25:17.844836;2021-08-05 19:25:27.854416;14;10
175;62.6;25.0;2021-08-05 19:25:44.208372;2021-08-05 19:25:35.827428;2021-08-05 19:25:45.838031;15;10
176;62.8;25.0;2021-08-05 19:26:06.257477;2021-08-05 19:25:56.333435;2021-08-05 19:26:06.342352;0;11
177;63.2;25.0;2021-08-05 19:26:28.310661;2021-08-05 19:26:19.727041;2021-08-05 19:26:29.734413;1;11
178;63.2;25.0;2021-08-05 19:26:48.357265;2021-08-05 19:26:38.379544;2021-08-05 19:26:48.386471;2;11
179;63.2;25.0;2021-08-05 19:27:04.394501;2021-08-05 19:26:55.965148;2021-08-05 19:27:05.974399;3;11
180;63.0;25.0;2021-08-05 19:27:22.438340;2021-08-05 19:27:13.130156;2021-08-05 19:27:23.138373;4;11
181;63.0;25.0;2021-08-05 19:27:42.485055;2021-08-05 19:27:32.702635;2021-08-05 19:27:42.710413;5;11
182;63.1;25.0;2021-08-05 19:28:00.525064;2021-08-05 19:27:52.189297;2021-08-05 19:28:02.198408;6;11
183;63.1;25.0;2021-08-05 19:28:18.569253;2021-08-05 19:28:10.510591;2021-08-05 19:28:20.521160;7;11
184;62.9;25.1;2021-08-05 19:29:50.787909;2021-08-05 19:29:41.930698;2021-08-05 19:29:51.938404;8;11
185;62.9;25.1;2021-08-05 19:30:06.825339;2021-08-05 19:29:58.529797;2021-08-05 19:30:08.538365;9;11
186;62.7;25.1;2021-08-05 19:30:24.865413;2021-08-05 19:30:14.884403;2021-08-05 19:30:24.894329;10;11
187;62.6;25.1;2021-08-05 19:30:38.900187;2021-08-05 19:30:30.800937;2021-08-05 19:30:40.810472;11;11
188;62.7;25.1;2021-08-05 19:30:56.944182;2021-08-05 19:30:48.647610;2021-08-05 19:30:58.654483;12;11
189;62.7;25.1;2021-08-05 19:31:14.984243;2021-08-05 19:31:05.417111;2021-08-05 19:31:15.427735;13;11
190;62.7;25.0;2021-08-05 19:31:33.081758;2021-08-05 19:31:24.336635;2021-08-05 19:31:34.346383;14;11
191;62.7;25.0;2021-08-05 19:31:51.180602;2021-08-05 19:31:42.322609;2021-08-05 19:31:52.330411;15;11
192;62.8;25.0;2021-08-05 19:32:11.272304;2021-08-05 19:32:02.522817;2021-08-05 19:32:12.530391;0;12
193;63.0;25.0;2021-08-05 19:32:35.359933;2021-08-05 19:32:26.005934;2021-08-05 19:32:36.014383;1;12
194;63.1;25.0;2021-08-05 19:32:53.417397;2021-08-05 19:32:44.891044;2021-08-05 19:32:54.898383;2;12
195;63.0;25.0;2021-08-05 19:33:11.475716;2021-08-05 19:33:03.293858;2021-08-05 19:33:13.302304;3;12
196;62.8;25.0;2021-08-05 19:33:29.528519;2021-08-05 19:33:20.446171;2021-08-05 19:33:30.454383;4;12
197;62.8;25.0;2021-08-05 19:33:49.588119;2021-08-05 19:33:39.854008;2021-08-05 19:33:49.865003;5;12
198;63.1;25.0;2021-08-05 19:34:07.643352;2021-08-05 19:33:59.552662;2021-08-05 19:34:09.562387;6;12
199;63.1;25.0;2021-08-05 19:34:25.694347;2021-08-05 19:34:17.613917;2021-08-05 19:34:27.622385;7;12
200;63.0;25.0;2021-08-05 19:34:41.707250;2021-08-05 19:34:33.536211;2021-08-05 19:34:43.546325;8;12
201;63.0;25.0;2021-08-05 19:34:59.711341;2021-08-05 19:34:50.716584;2021-08-05 19:35:00.726383;9;12
202;62.9;25.0;2021-08-05 19:35:17.743356;2021-08-05 19:35:08.038708;2021-08-05 19:35:18.046379;10;12
203;62.9;25.0;2021-08-05 19:35:33.776640;2021-08-05 19:35:23.902505;2021-08-05 19:35:33.913889;11;12
204;62.9;25.0;2021-08-05 19:35:51.773701;2021-08-05 19:35:42.654238;2021-08-05 19:35:52.662552;12;12
205;63.0;25.0;2021-08-05 19:36:07.785336;2021-08-05 19:35:59.358462;2021-08-05 19:36:09.366438;13;12
206;62.9;25.0;2021-08-05 19:36:27.820332;2021-08-05 19:36:19.145512;2021-08-05 19:36:29.154398;14;12
207;63.0;25.0;2021-08-05 19:36:47.881868;2021-08-05 19:36:37.945588;2021-08-05 19:36:47.954423;15;12
208;63.1;25.0;2021-08-05 19:37:07.975282;2021-08-05 19:36:58.229822;2021-08-05 19:37:08.238485;0;13
209;63.2;25.0;2021-08-05 19:37:32.049143;2021-08-05 19:37:23.197535;2021-08-05 19:37:33.208136;1;13
210;63.2;25.0;2021-08-05 19:37:52.105648;2021-08-05 19:37:42.605694;2021-08-05 19:37:52.614445;2;13
211;63.1;25.0;2021-08-05 19:38:10.162347;2021-08-05 19:38:00.576827;2021-08-05 19:38:10.587404;3;13
212;63.0;25.0;2021-08-05 19:38:26.208239;2021-08-05 19:38:17.381201;2021-08-05 19:38:27.390418;4;13
213;63.1;25.0;2021-08-05 19:38:48.267033;2021-08-05 19:38:38.696236;2021-08-05 19:38:48.706417;5;13
214;63.2;25.0;2021-08-05 19:39:06.317495;2021-08-05 19:38:57.956876;2021-08-05 19:39:07.966476;6;13
215;63.1;25.0;2021-08-05 19:39:26.370837;2021-08-05 19:39:16.575817;2021-08-05 19:39:26.586375;7;13
216;63.1;25.0;2021-08-05 19:39:44.420463;2021-08-05 19:39:34.616962;2021-08-05 19:39:44.628440;8;13
217;63.1;25.0;2021-08-05 19:40:00.460657;2021-08-05 19:39:51.653453;2021-08-05 19:40:01.662350;9;13
218;63.1;25.0;2021-08-05 19:40:16.497296;2021-08-05 19:40:07.844757;2021-08-05 19:40:17.854466;10;13
219;63.0;25.0;2021-08-05 19:40:32.534970;2021-08-05 19:40:23.977253;2021-08-05 19:40:33.986389;11;13
220;63.0;25.0;2021-08-05 19:40:52.583320;2021-08-05 19:40:42.800291;2021-08-05 19:40:52.810368;12;13
221;63.0;25.0;2021-08-05 19:41:08.622584;2021-08-05 19:41:00.332509;2021-08-05 19:41:10.342416;13;13
222;63.0;25.0;2021-08-05 19:41:28.672267;2021-08-05 19:41:19.453937;2021-08-05 19:41:29.462377;14;13
